_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
e387d8ed-69cc-4904-b7ac-4ec6c8aa3377,GCA037,Química e fertilidade do solo,3,45,5-AGRONOMIA - CHAPECÓ - 2010/2,4,Sim,Não,Chapecó,1501,1120217,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
7bee519c-e5f2-4e81-98fa-2e1286063ec8,GCA037,Química e fertilidade do solo,3,45,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,5,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
f22f169b-fb42-4d9b-b997-320de6b2725e,GCA038,Entomologia agrícola,4,60,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,4,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
16e0ca8d-0878-4ab7-b1f3-47d0b4d10ec6,GCA038,Entomologia agrícola,4,60,80-AGRONOMIA - LARANJEIRAS DO SUL - 2017/1,4,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
a0298dba-afcc-49b7-aee8-38c247eb7e95,GCA038,Entomologia agrícola,4,60,92-CIÊNCIAS BIOLÓGICAS - LARANJEIRAS DO SUL – 2019/1 ,0,Não,Sim,Laranjeiras do Sul,2202,1455377,CIÊNCIAS BIOLÓGICAS,INTEGRAL,Sim,Sim,2020-01-21
1d50b786-970b-4783-876c-6dc05f65ce14,GCA038,Entomologia agrícola,4,60,5-AGRONOMIA - CHAPECÓ - 2010/2,5,Sim,Não,Chapecó,1501,1120217,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
62634edf-e1b0-4ef2-9e40-b48034f5b0d5,GCA039,Saúde de plantas,5,75,32-AGRONOMIA - CERRO LARGO - 2010/1,5,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
b39aedb6-cedf-4242-b3d8-171f9b80dca9,GCA039,Saúde de plantas,5,75,36-AGRONOMIA - ERECHIM - 2010/1,5,Sim,Não,Erechim,5502,5000382,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
66d6b381-569b-4dc3-84c7-2e9015c9ba1a,GCA039,Saúde de plantas,5,75,5-AGRONOMIA - CHAPECÓ - 2010/2,5,Sim,Não,Chapecó,1501,1120217,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
3abca4eb-80a1-4fe5-b0f8-ec09c031baed,GCA039,Saúde de plantas,5,75,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,5,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
56ec2bba-7440-4e56-91e6-61f26c6fb971,GCA040,Forragicultura,4,60,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,5,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
a7048db9-b3f7-408c-92ef-8074569b3086,GCA041,Culturas de verão,3,45,5-AGRONOMIA - CHAPECÓ - 2010/2,7,Sim,Não,Chapecó,1501,1120217,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
bbd5af7e-ad9f-4baa-95a1-d28042c2ad98,GCA042,Culturas de inverno,3,45,32-AGRONOMIA - CERRO LARGO - 2010/1,7,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
7001dd77-6bb5-4ef5-90cb-20ded2ca3b55,GCA043,Manejo de plantas espontâneas,3,45,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,6,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
23c05205-fd6a-4aae-bbd2-cb9e667563d4,GCA044,Levantamento e classificação de solos,3,45,32-AGRONOMIA - CERRO LARGO - 2010/1,6,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
6e34930c-dbc4-4fd5-840f-b65d6cb213ef,GCA044,Levantamento e classificação de solos,3,45,77-AGRONOMIA - CERRO LARGO - 2017/1,6,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
